,Material,Plant|Time: Cal Yr/Month,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,Total Result
Total Inventory Qty,00832,FP13,"14,024.00 CS","11,703.00 CS","9,361.00 CS","2,706.00 CS","3,525.00 CS","1,737.00 CS","1,367.00 CS","5,641.00 CS","2,920.00 CS","3,510.00 CS","2,854.00 CS",934.00 CS,"60,282.00 CS"
Total Inventory Qty,00832,FP14,650.00 CS,50.00 CS,60.00 CS,800.00 CS,"1,400.00 CS",900.00 CS,543.00 CS,50.00 CS,650.00 CS,33.00 CS,,,"5,136.00 CS"
Total Inventory Qty,00833,FP01,,,,790.00 CS,,,,200.00 CS,,,,,990.00 CS
Total Inventory Qty,00833,FP07,910.00 CS,520.00 CS,667.00 CS,"1,035.00 CS",475.00 CS,"2,165.00 CS","1,621.00 CS",102.00 CS,504.00 CS,411.00 CS,79.00 CS,119.00 CS,"8,608.00 CS"
Total Inventory Qty,00833,FP13,"22,599.00 CS","20,536.00 CS","11,180.00 CS","10,576.00 CS","3,370.00 CS","1,273.00 CS","4,363.00 CS","7,943.00 CS","5,302.00 CS","4,720.00 CS","8,679.00 CS",494.00 CS,"1,01,035.00 CS"
Total Inventory Qty,00833,FP14,50.00 CS,"1,650.00 CS","1,108.33 CS","1,150.00 CS",50.00 CS,"1,300.00 CS",50.00 CS,50.00 CS,278.00 CS,,650.00 CS,,"6,336.33 CS"
Total Inventory Qty,00834,FP03,0.79 CS,0.79 CS,0.79 CS,1.74 CS,2.59 CS,2.59 CS,3.00 CS,3.00 CS,3.00 CS,2.00 CS,2.00 CS,2.00 CS,24.29 CS
Total Inventory Qty,00834,FP07,40.00 CS,33.00 CS,3.00 CS,1.00 CS,30.00 CS,30.00 CS,10.00 CS,10.00 CS,10.00 CS,10.00 CS,10.00 CS,10.00 CS,197.00 CS
Total Inventory Qty,00834,FP13,"2,440.00 CS","2,822.00 CS","1,612.00 CS",999.00 CS,141.00 CS,,,767.00 CS,90.00 CS,39.00 CS,25.00 CS,25.00 CS,"8,960.00 CS"
Total Inventory Qty,00836,FP03,0.83 CS,0.83 CS,0.83 CS,0.67 CS,0.67 CS,0.67 CS,,,,,,,4.50 CS
Total Inventory Qty,00836,FP07,65.00 CS,45.00 CS,27.00 CS,,,,,,,50.00 CS,50.00 CS,50.00 CS,287.00 CS
Total Inventory Qty,00836,FP13,"4,061.00 CS","1,350.00 CS","2,410.00 CS","5,190.00 CS","1,519.00 CS",,,1.00 CS,1.00 CS,1.00 CS,,,"14,533.00 CS"
Total Inventory Qty,00836,FP14,150.00 CS,418.00 CS,150.00 CS,150.00 CS,150.00 CS,150.00 CS,150.00 CS,150.00 CS,150.00 CS,,,,"1,618.00 CS"
Total Inventory Qty,00837,FP07,50.00 CS,50.00 CS,50.00 CS,50.00 CS,50.00 CS,50.00 CS,50.00 CS,,,,,,350.00 CS
Total Inventory Qty,00837,FP13,"1,361.00 CS","1,161.00 CS",560.00 CS,260.00 CS,,655.00 CS,155.00 CS,155.00 CS,,684.00 CS,39.00 CS,39.00 CS,"5,069.00 CS"
Total Inventory Qty,00840,FP01,,,,253.00 CS,,,,,,,200.00 CS,,453.00 CS
Total Inventory Qty,00840,FP03,,,,0.36 CS,0.18 CS,0.18 CS,0.36 CS,0.36 CS,0.36 CS,1.07 CS,1.07 CS,1.07 CS,5.00 CS
Total Inventory Qty,00840,FP07,615.00 CS,561.00 CS,961.00 CS,607.00 CS,281.00 CS,204.00 CS,654.00 CS,122.00 CS,87.00 CS,137.00 CS,87.00 CS,87.00 CS,"4,403.00 CS"
Total Inventory Qty,00840,FP13,751.00 CS,647.00 CS,"1,222.00 CS",740.00 CS,489.00 CS,98.00 CS,"1,155.00 CS",319.00 CS,200.00 CS,"1,572.00 CS","1,150.00 CS","1,052.00 CS","9,395.00 CS"
Total Inventory Qty,00840,FP14,2.00 CS,24.00 CS,,,,702.00 CS,,,,,,,728.00 CS
Total Inventory Qty,00846,FP01,,,,,,,,,,,,80.00 CS,80.00 CS
Total Inventory Qty,00846,FP03,,,1.67 CS,0.53 CS,0.53 CS,0.53 CS,,,2.50 CS,1.00 CS,1.00 CS,1.00 CS,8.77 CS
Total Inventory Qty,00846,FP07,266.00 CS,163.00 CS,162.00 CS,316.00 CS,452.00 CS,170.00 CS,,,,8.00 CS,200.00 CS,389.00 CS,"2,126.00 CS"
Total Inventory Qty,00846,FP13,"3,833.00 CS",935.00 CS,"2,475.00 CS","1,223.00 CS","1,276.00 CS",199.00 CS,,"1,992.00 CS",2.00 CS,51.00 CS,878.00 CS,"2,075.00 CS","14,939.00 CS"
