,Material,Plant|Time: Cal Yr/Month,201803,201804,201805,201806,201807,201808,201809,201810,201811,201812,201901,201902,Total Result
Total Inventory Qty,01708,FP07,"1,357.00 CS","1,356.00 CS","1,355.00 CS","1,350.00 CS","1,349.00 CS","1,115.00 CS","1,011.00 CS",873.00 CS,854.00 CS,429.00 CS,409.00 CS,382.00 CS,"11,840.00 CS"
Total Inventory Qty,01709,FP07,"1,713.00 CS","2,636.00 CS","17,883.00 CS","25,983.00 CS","25,980.00 CS","25,970.00 CS","25,965.00 CS","25,194.00 CS","23,156.00 CS","23,101.00 CS","23,084.00 CS","23,075.00 CS","2,43,740.00 CS"
Total Inventory Qty,01710,FP07,260.00 CS,259.00 CS,258.00 CS,256.00 CS,253.00 CS,,,,,,,,"1,286.00 CS"
Total Inventory Qty,01710,FP13,5.00 CS,4.00 CS,4.00 CS,,,,,,,,,,13.00 CS
Total Inventory Qty,01711,FM02,673.00 CS,,,,,,,,,,,,673.00 CS
Total Inventory Qty,01711,FP07,"17,734.00 CS","10,764.00 CS","18,191.00 CS","16,559.00 CS","5,970.00 CS","13,883.00 CS","7,252.00 CS","5,524.00 CS",325.00 CS,15.00 CS,,,"96,217.00 CS"
Total Inventory Qty,01711,FP13,686.00 CS,"1,746.00 CS","6,336.00 CS","1,765.00 CS","12,616.00 CS","7,369.00 CS","6,951.00 CS","3,776.00 CS","1,376.00 CS",,,,"42,621.00 CS"
Total Inventory Qty,01712,FP07,"3,727.00 CS","3,727.00 CS","3,727.00 CS","3,726.00 CS","3,726.00 CS","5,467.00 CS",2.00 CS,2.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,"24,108.00 CS"
Total Inventory Qty,01712,FP13,"1,743.00 CS","1,743.00 CS","1,742.00 CS","1,742.00 CS","1,742.00 CS",,,,,,,,"8,712.00 CS"
Total Inventory Qty,01713,FP03,2.00 CS,1.00 CS,1.00 CS,,,,,,,,,,4.00 CS
Total Inventory Qty,01713,FP07,"1,756.00 CS","1,728.00 CS","1,716.00 CS","1,705.00 CS","2,663.00 CS","19,840.00 CS","12,509.00 CS",849.00 CS,666.00 CS,624.00 CS,604.00 CS,"10,159.00 CS","54,819.00 CS"
Total Inventory Qty,01714,FP07,"1,073.00 CS","1,070.00 CS","1,068.00 CS","1,065.00 CS","9,421.00 CS","6,918.00 CS","4,133.00 CS",984.00 CS,54.00 CS,10.00 CS,10.00 CS,10.00 CS,"25,816.00 CS"
Total Inventory Qty,01714,FP13,,,,,,,,63.00 CS,63.00 CS,31.00 CS,25.00 CS,25.00 CS,207.00 CS
Total Inventory Qty,01717,FP03,5.75 CS,12.00 CS,24.25 CS,79.25 CS,16.00 CS,7.63 CS,5.00 CS,4.00 CS,4.00 CS,4.38 CS,4.38 CS,4.38 CS,171.00 CS
Total Inventory Qty,01717,FP07,"1,776.00 CS","1,676.00 CS","1,108.00 CS","1,079.00 CS","1,032.00 CS","1,032.00 CS","1,067.00 CS","1,067.00 CS",37.00 CS,,15.00 CS,15.00 CS,"9,904.00 CS"
Total Inventory Qty,01717,FP13,"17,183.00 CS","14,269.00 CS","10,378.75 CS","7,568.75 CS","8,035.75 CS","7,078.11 CS","2,977.86 CS",13.87 CS,13.87 CS,13.87 CS,13.87 CS,13.87 CS,"67,560.59 CS"
Total Inventory Qty,01719,FP03,2.50 CS,2.50 CS,2.50 CS,1.67 CS,2.50 CS,2.00 CS,1.50 CS,1.00 CS,1.00 CS,1.00 CS,0.67 CS,3.17 CS,22.00 CS
Total Inventory Qty,01719,FP07,"2,497.00 CS","3,379.00 CS","5,612.00 CS","2,210.00 CS","1,529.00 CS","4,282.00 CS","2,878.00 CS",100.00 CS,"1,596.00 CS","2,257.00 CS","1,770.00 CS","1,467.00 CS","29,577.00 CS"
Total Inventory Qty,01719,FP13,"4,698.00 CS","12,719.00 CS","6,315.00 CS",516.00 CS,"7,726.00 CS","5,241.00 CS","1,737.00 CS","9,037.00 CS","15,795.00 CS","21,404.00 CS","19,882.00 CS","15,601.00 CS","1,20,671.00 CS"
Total Inventory Qty,01720,FP03,0.67 CS,0.67 CS,0.67 CS,0.67 CS,0.67 CS,0.67 CS,0.67 CS,0.67 CS,0.67 CS,0.50 CS,0.50 CS,0.50 CS,7.50 CS
Total Inventory Qty,01720,FP07,"1,786.00 CS","1,786.00 CS","1,785.00 CS","1,785.00 CS","1,784.00 CS","1,785.00 CS","1,785.00 CS","1,785.00 CS","1,785.00 CS","1,585.00 CS",360.00 CS,360.00 CS,"18,371.00 CS"
Total Inventory Qty,01720,FP13,"8,974.00 CS","8,974.00 CS","8,974.00 CS","8,974.00 CS","8,974.00 CS","8,974.00 CS","8,974.00 CS","8,974.00 CS","8,974.00 CS","8,974.00 CS","8,974.00 CS",,"98,714.00 CS"
Total Inventory Qty,01721,FP03,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,1.00 CS,12.00 CS
Total Inventory Qty,01721,FP07,"2,286.00 CS","2,286.00 CS","2,286.00 CS","2,286.00 CS","2,286.00 CS","2,036.00 CS","2,036.00 CS","2,039.00 CS","2,039.00 CS","2,039.00 CS",679.00 CS,679.00 CS,"22,977.00 CS"
Total Inventory Qty,01721,FP13,"2,963.00 CS","2,965.00 CS","2,965.00 CS","2,965.00 CS","2,967.00 CS","2,718.00 CS","2,718.00 CS","2,718.00 CS","2,711.00 CS","2,378.00 CS","2,378.00 CS","1,800.00 CS","32,246.00 CS"
Total Inventory Qty,01722,FP07,"9,181.00 CS","9,135.00 CS","8,453.00 CS","8,453.00 CS","8,453.00 CS","8,453.00 CS","8,453.00 CS","8,453.00 CS","8,453.00 CS",,,,"77,487.00 CS"
Total Inventory Qty,01722,FP13,"1,771.00 CS","1,768.00 CS","1,768.00 CS","1,768.00 CS","1,773.00 CS","1,719.00 CS","1,725.00 CS",,,,,,"12,292.00 CS"
Total Inventory Qty,01724,FP13,"1,984.00 CS","1,600.00 CS","1,600.00 CS","1,600.00 CS","1,504.00 CS","1,504.00 CS","1,504.00 CS","1,504.00 CS","1,504.00 CS","1,504.00 CS","1,504.00 CS","1,504.00 CS","18,816.00 CS"
Total Inventory Qty,01727,FP13,99.00 CS,99.00 CS,99.00 CS,99.00 CS,123.00 CS,23.00 CS,23.00 CS,23.00 CS,23.00 CS,,,,611.00 CS
Total Inventory Qty,01736,FP07,,,,,,,,,,28.00 CS,28.00 CS,28.00 CS,84.00 CS
Total Inventory Qty,01736,FP13,"7,533.00 CS","3,280.00 CS","1,413.00 CS","1,927.00 CS","5,731.00 CS","3,883.00 CS","2,527.00 CS","3,142.00 CS","2,055.00 CS","4,213.00 CS","2,693.00 CS","1,715.00 CS","40,112.00 CS"
Total Inventory Qty,01738,FP07,481.00 CS,481.00 CS,481.00 CS,481.00 CS,481.00 CS,481.00 CS,480.00 CS,480.00 CS,480.00 CS,480.00 CS,,,"4,806.00 CS"
Total Inventory Qty,01738,FP13,"1,664.00 CS","1,715.00 CS","1,662.00 CS","1,662.00 CS","1,662.00 CS","1,662.00 CS","1,662.00 CS","1,672.00 CS","1,672.00 CS","1,356.00 CS",,,"16,389.00 CS"
Total Inventory Qty,01739,FP07,"4,876.00 CS","5,053.00 CS","2,513.00 CS","1,145.00 CS","2,100.00 CS",96.00 CS,,"1,475.00 CS",551.00 CS,"2,387.00 CS","1,800.00 CS","2,148.00 CS","24,144.00 CS"
Total Inventory Qty,01739,FP13,"11,101.00 CS","1,604.00 CS","12,163.00 CS","5,174.00 CS","3,968.00 CS","7,504.00 CS","7,589.00 CS","12,337.00 CS","7,945.00 CS","11,944.00 CS","5,686.00 CS","8,615.00 CS","95,630.00 CS"
Total Inventory Qty,01739,FP14,,,,,,192.00 CS,,96.00 CS,,,,,288.00 CS
Total Inventory Qty,01742,FP01,,,,,,,,640.00 CS,,,,,640.00 CS
Total Inventory Qty,01742,FP03,,,,,,,0.83 CS,0.83 CS,0.83 CS,1.00 CS,1.00 CS,1.00 CS,5.50 CS
Total Inventory Qty,01742,FP07,50.00 CS,93.00 CS,26.00 CS,107.00 CS,194.00 CS,187.00 CS,187.00 CS,86.00 CS,110.00 CS,108.00 CS,102.00 CS,84.00 CS,"1,334.00 CS"
Total Inventory Qty,01742,FP13,"10,578.00 CS","10,852.00 CS","4,454.00 CS","4,906.00 CS","3,224.00 CS","2,999.00 CS","3,407.00 CS","1,299.00 CS","1,195.00 CS",414.00 CS,"1,073.00 CS",,"44,401.00 CS"
Total Inventory Qty,01757,FP07,,"10,871.00 CS","10,869.00 CS","10,868.00 CS","10,867.00 CS","10,841.00 CS","10,273.00 CS","6,606.00 CS","6,424.00 CS","6,424.00 CS","6,423.00 CS","6,409.00 CS","96,875.00 CS"
Total Inventory Qty,01758,FM02,,,,,,,,78.00 CS,,,,,78.00 CS
Total Inventory Qty,01758,FP07,974.00 CS,974.00 CS,973.00 CS,973.00 CS,973.00 CS,968.00 CS,828.00 CS,626.00 CS,450.00 CS,448.00 CS,445.00 CS,432.00 CS,"9,064.00 CS"
Total Inventory Qty,01759,FP07,,,,,,,,,,"1,520.00 CS",936.00 CS,"1,215.00 CS","3,671.00 CS"
Total Inventory Qty,01759,FP13,,,,,,,,,,"1,268.00 CS","5,546.00 CS","8,362.00 CS","15,176.00 CS"
Total Inventory Qty,01761,FP03,0.50 CS,,,1.00 CS,1.00 CS,1.00 CS,0.67 CS,4.00 CS,4.00 CS,0.50 CS,1.17 CS,2.17 CS,16.00 CS
Total Inventory Qty,01761,FP07,181.00 CS,750.00 CS,"3,493.00 CS","4,668.00 CS","3,834.00 CS","8,991.00 CS","8,099.00 CS","8,438.00 CS","6,790.00 CS","8,063.00 CS","8,697.00 CS","10,188.00 CS","72,192.00 CS"
Total Inventory Qty,01761,FP13,183.00 CS,,"2,173.00 CS","3,254.00 CS","7,512.00 CS","4,685.00 CS","4,268.00 CS","3,201.00 CS","8,214.00 CS","7,514.00 CS","9,073.00 CS","8,685.00 CS","58,762.00 CS"
Total Inventory Qty,01762,FP03,1.00 CS,0.50 CS,0.25 CS,0.67 CS,,,,,1.83 CS,,0.67 CS,0.50 CS,5.42 CS
Total Inventory Qty,01762,FP07,"3,987.00 CS","2,667.00 CS","2,046.00 CS","1,612.00 CS",985.00 CS,340.00 CS,,392.00 CS,,"1,188.00 CS","1,396.00 CS","1,321.00 CS","15,934.00 CS"
Total Inventory Qty,01762,FP13,10.00 CS,409.00 CS,337.00 CS,28.00 CS,64.00 CS,167.00 CS,138.00 CS,141.00 CS,72.00 CS,30.00 CS,269.00 CS,238.00 CS,"1,903.00 CS"
Total Inventory Qty,01763,FP03,0.83 CS,0.33 CS,,0.67 CS,0.67 CS,0.33 CS,0.33 CS,0.17 CS,1.17 CS,0.50 CS,1.17 CS,0.67 CS,6.83 CS
Total Inventory Qty,01763,FP07,686.00 CS,489.00 CS,22.00 CS,,26.00 CS,231.00 CS,,"1,787.00 CS","1,508.00 CS","1,932.00 CS","1,598.00 CS","2,243.00 CS","10,522.00 CS"
Total Inventory Qty,01763,FP13,227.00 CS,,97.00 CS,12.00 CS,56.00 CS,33.00 CS,,66.00 CS,14.00 CS,55.00 CS,,183.00 CS,743.00 CS
Total Inventory Qty,01765,FP07,858.00 CS,856.00 CS,855.00 CS,855.00 CS,855.00 CS,"3,153.00 CS","2,720.00 CS","1,275.00 CS",761.00 CS,34.00 CS,27.00 CS,27.00 CS,"12,276.00 CS"
Total Inventory Qty,01766,FP07,,,,,"2,928.00 CS","3,104.00 CS","2,739.00 CS","1,066.00 CS",770.00 CS,"1,180.00 CS","1,179.00 CS","1,163.00 CS","14,129.00 CS"
Total Inventory Qty,01767,FP07,"1,653.00 CS","1,653.00 CS","1,653.00 CS","1,653.00 CS","1,653.00 CS","3,330.00 CS","2,708.00 CS",643.00 CS,468.00 CS,462.00 CS,461.00 CS,13.00 CS,"16,350.00 CS"
Total Inventory Qty,01771,FP07,"5,276.00 CS","5,276.00 CS","5,276.00 CS","5,276.00 CS","5,276.00 CS","5,276.00 CS",,,,,,,"31,656.00 CS"
Total Inventory Qty,01774,FP07,,,,,,,"1,754.00 CS",125.00 CS,115.00 CS,,,,"1,994.00 CS"
Total Inventory Qty,01776,FP07,7.00 CS,7.00 CS,7.00 CS,7.00 CS,7.00 CS,,,,,,,,35.00 CS
Total Inventory Qty,01778,FP07,436.00 CS,436.00 CS,436.00 CS,436.00 CS,436.00 CS,79.00 CS,79.00 CS,79.00 CS,79.00 CS,,,,"2,496.00 CS"
Total Inventory Qty,01779,FP07,"1,231.00 CS","1,230.00 CS","1,229.00 CS","1,229.00 CS","1,228.00 CS","1,076.00 CS","2,388.00 CS","1,048.00 CS",678.00 CS,675.00 CS,673.00 CS,673.00 CS,"13,358.00 CS"
Total Inventory Qty,01782,FP07,577.00 CS,577.00 CS,577.00 CS,577.00 CS,577.00 CS,5.00 CS,5.00 CS,5.00 CS,5.00 CS,,,,"2,905.00 CS"
Total Inventory Qty,01787,FP07,,,,64.00 CS,"13,681.00 CS","7,992.00 CS",188.00 CS,118.00 CS,118.00 CS,118.00 CS,118.00 CS,118.00 CS,"22,515.00 CS"
Total Inventory Qty,01787,FP13,18.00 CS,62.00 CS,62.00 CS,,22.00 CS,,,,,,,,164.00 CS
Total Inventory Qty,01788,FP07,92.00 CS,92.00 CS,92.00 CS,92.00 CS,"2,972.00 CS","4,894.00 CS",157.00 CS,,120.00 CS,119.00 CS,119.00 CS,119.00 CS,"8,868.00 CS"
Total Inventory Qty,01788,FP13,,9.00 CS,9.00 CS,,"4,719.00 CS","7,123.00 CS",,24.00 CS,24.00 CS,24.00 CS,24.00 CS,24.00 CS,"11,980.00 CS"
Total Inventory Qty,01788,FP14,,,,,48.00 CS,,,,,,,,48.00 CS
Total Inventory Qty,01789,FP07,613.00 CS,613.00 CS,613.00 CS,610.00 CS,"32,861.00 CS","33,777.00 CS","1,120.00 CS",661.00 CS,636.00 CS,26.00 CS,26.00 CS,26.00 CS,"71,582.00 CS"
Total Inventory Qty,01789,FP13,,93.00 CS,93.00 CS,,,,,,,,,,186.00 CS
Total Inventory Qty,01791,FP07,39.00 CS,35.00 CS,34.00 CS,34.00 CS,34.00 CS,34.00 CS,34.00 CS,34.00 CS,34.00 CS,34.00 CS,34.00 CS,34.00 CS,414.00 CS
Total Inventory Qty,01791,FP13,13.00 CS,13.00 CS,13.00 CS,13.00 CS,13.00 CS,13.00 CS,12.00 CS,12.00 CS,12.00 CS,12.00 CS,12.00 CS,,138.00 CS
Total Inventory Qty,01793,FP07,,10.00 CS,10.00 CS,10.00 CS,"8,946.00 CS","4,360.00 CS",101.00 CS,46.00 CS,49.00 CS,49.00 CS,49.00 CS,49.00 CS,"13,679.00 CS"
Total Inventory Qty,01793,FP13,,,,,,"2,517.00 CS",,,,,,,"2,517.00 CS"
Total Inventory Qty,01796,FP07,357.00 CS,357.00 CS,357.00 CS,357.00 CS,357.00 CS,357.00 CS,,,,,,,"2,142.00 CS"
Total Inventory Qty,01797,FP07,292.00 CS,292.00 CS,292.00 CS,292.00 CS,292.00 CS,292.00 CS,272.00 CS,272.00 CS,272.00 CS,,,,"2,568.00 CS"
Total Inventory Qty,01797,FP13,,18.00 CS,18.00 CS,,"2,460.00 CS","10,918.00 CS",35.00 CS,20.00 CS,34.00 CS,33.00 CS,33.00 CS,33.00 CS,"13,602.00 CS"
Total Inventory Qty,01799,FP01,,,,"1,320.00 CS",,,,,,,,,"1,320.00 CS"
Total Inventory Qty,01799,FP07,,,,"2,448.00 CS","14,121.00 CS","11,976.00 CS",40.00 CS,45.00 CS,45.00 CS,45.00 CS,45.00 CS,45.00 CS,"28,810.00 CS"
Total Inventory Qty,01803,FP07,1.00 CS,1.00 CS,1.00 CS,,,,,,,,,,3.00 CS
Total Inventory Qty,01805,FP07,,,,832.00 CS,29.00 CS,8.00 CS,,,,,,,869.00 CS
Total Inventory Qty,01809,FP01,,,,,105.00 CS,,,,,,,,105.00 CS
Total Inventory Qty,01809,FP03,0.17 CS,0.17 CS,1.17 CS,1.50 CS,1.50 CS,1.50 CS,1.17 CS,1.17 CS,1.17 CS,1.17 CS,1.17 CS,1.17 CS,13.00 CS
Total Inventory Qty,01809,FP07,,"2,069.00 CS","2,002.00 CS","1,248.00 CS",606.00 CS,404.00 CS,426.00 CS,262.00 CS,146.00 CS,317.00 CS,273.00 CS,260.00 CS,"8,013.00 CS"
Total Inventory Qty,01809,FP13,"16,628.00 CS","2,855.00 CS","6,053.00 CS","4,489.00 CS","1,883.00 CS","3,741.00 CS","1,880.00 CS","1,249.00 CS","1,013.00 CS","1,001.00 CS","1,001.00 CS",959.00 CS,"42,752.00 CS"
Total Inventory Qty,01810,FP07,113.00 CS,113.00 CS,113.00 CS,113.00 CS,113.00 CS,113.00 CS,113.00 CS,113.00 CS,113.00 CS,113.00 CS,113.00 CS,113.00 CS,"1,356.00 CS"
Total Inventory Qty,01811,FP03,2.50 CS,2.50 CS,2.50 CS,2.50 CS,2.50 CS,2.50 CS,2.50 CS,2.50 CS,2.50 CS,2.50 CS,2.50 CS,2.50 CS,30.00 CS
Total Inventory Qty,01811,FP07,"1,772.00 CS","1,758.00 CS","1,754.00 CS","1,755.00 CS","1,755.00 CS","1,755.00 CS","1,753.00 CS","1,753.00 CS","1,753.00 CS",,,,"15,808.00 CS"
Total Inventory Qty,01811,FP13,"3,882.00 CS","3,855.00 CS","3,853.00 CS","3,853.00 CS","3,853.00 CS","3,853.00 CS","3,853.00 CS",,,,,,"27,002.00 CS"
Total Inventory Qty,01812,FP07,,,,,,"1,832.00 CS",530.00 CS,530.00 CS,528.00 CS,528.00 CS,528.00 CS,528.00 CS,"5,004.00 CS"
Total Inventory Qty,01812,FP13,,,,,,51.00 CS,,,,,,,51.00 CS
Total Inventory Qty,01814,FP07,62.00 CS,62.00 CS,61.00 CS,"4,571.00 CS","5,866.00 CS","2,791.00 CS",433.00 CS,433.00 CS,432.00 CS,432.00 CS,432.00 CS,432.00 CS,"16,007.00 CS"
Total Inventory Qty,01814,FP13,,,,"1,296.00 CS",,,,,,,,,"1,296.00 CS"
Total Inventory Qty,01815,FP03,,,1.00 CS,0.70 CS,0.70 CS,0.60 CS,9.00 CS,8.90 CS,8.80 CS,0.40 CS,0.20 CS,0.70 CS,31.00 CS
Total Inventory Qty,01815,FP07,"1,714.00 CS","1,439.00 CS","4,487.00 CS","3,439.00 CS","3,433.00 CS","2,375.00 CS","1,766.00 CS","1,650.00 CS","1,635.00 CS","1,593.00 CS","1,039.00 CS",817.00 CS,"25,387.00 CS"
Total Inventory Qty,01815,FP13,"1,195.00 CS","1,101.00 CS",732.00 CS,"1,186.00 CS","1,044.00 CS","2,039.00 CS","1,960.00 CS","1,460.00 CS",855.00 CS,567.00 CS,287.00 CS,453.00 CS,"12,879.00 CS"
Total Inventory Qty,01816,FP07,,,,,,320.00 CS,182.00 CS,177.00 CS,175.00 CS,175.00 CS,175.00 CS,175.00 CS,"1,379.00 CS"
Total Inventory Qty,01817,FP07,16.00 CS,16.00 CS,16.00 CS,158.00 CS,,,,,28.00 CS,28.00 CS,28.00 CS,28.00 CS,318.00 CS
Total Inventory Qty,01817,FP13,24.00 CS,24.00 CS,22.00 CS,104.00 CS,45.00 CS,45.00 CS,45.00 CS,45.00 CS,17.00 CS,17.00 CS,17.00 CS,17.00 CS,422.00 CS
Total Inventory Qty,01818,FP07,619.00 CS,600.00 CS,600.00 CS,466.00 CS,146.00 CS,146.00 CS,111.00 CS,51.00 CS,419.00 CS,102.00 CS,481.00 CS,844.00 CS,"4,585.00 CS"
Total Inventory Qty,01818,FP13,429.00 CS,429.00 CS,427.00 CS,158.00 CS,123.00 CS,123.00 CS,1.00 CS,384.00 CS,392.00 CS,126.00 CS,32.00 CS,440.00 CS,"3,064.00 CS"
Total Inventory Qty,01821,FP03,,7.00 CS,1.50 CS,6.33 CS,5.63 CS,8.79 CS,9.00 CS,9.17 CS,9.00 CS,9.67 CS,7.67 CS,11.00 CS,84.75 CS
Total Inventory Qty,01821,FP07,582.00 CS,"4,135.00 CS","4,976.00 CS","7,196.00 CS","9,648.00 CS","9,578.00 CS","9,197.00 CS","8,378.00 CS","7,843.00 CS","4,037.00 CS","3,069.00 CS","2,954.00 CS","71,593.00 CS"
Total Inventory Qty,01821,FP13,600.00 CS,665.00 CS,"3,142.00 CS","2,987.00 CS","2,744.00 CS","2,517.00 CS","1,397.00 CS","1,283.00 CS",840.00 CS,"2,349.00 CS","3,167.00 CS","3,019.00 CS","24,710.00 CS"
Total Inventory Qty,01823,FP03,4.00 CS,10.00 CS,5.00 CS,7.58 CS,18.00 CS,17.50 CS,14.00 CS,468.08 CS,209.92 CS,8.58 CS,9.83 CS,8.42 CS,780.92 CS
Total Inventory Qty,01823,FP07,"6,720.00 CS","4,223.00 CS","12,746.00 CS","12,979.00 CS","56,192.00 CS","56,495.00 CS","58,710.00 CS","50,278.00 CS","48,270.00 CS","42,729.00 CS","44,537.00 CS","33,197.00 CS","4,27,076.00 CS"
Total Inventory Qty,01823,FP13,,"2,080.00 CS","23,472.00 CS","18,894.00 CS","12,980.00 CS","14,652.00 CS","8,858.00 CS","11,340.00 CS","11,854.00 CS","12,620.00 CS","10,024.00 CS","18,053.00 CS","1,44,827.00 CS"
Total Inventory Qty,01824,FP03,"3,098.13 CS",300.75 CS,79.13 CS,56.00 CS,44.00 CS,57.00 CS,6.00 CS,8.00 CS,8.00 CS,12.50 CS,12.13 CS,"1,890.00 CS","5,571.63 CS"
Total Inventory Qty,01824,FP07,"11,298.00 CS","8,802.00 CS","20,552.00 CS","48,691.00 CS","60,105.00 CS","67,140.00 CS","36,625.00 CS","30,339.00 CS","41,810.00 CS","35,593.00 CS","25,742.00 CS","21,678.00 CS","4,08,375.00 CS"
Total Inventory Qty,01824,FP13,"9,661.00 CS","13,309.00 CS","7,527.00 CS","4,610.00 CS","21,692.00 CS","9,130.00 CS","31,248.00 CS","23,643.00 CS","17,500.00 CS","17,672.00 CS","21,300.00 CS","21,462.00 CS","1,98,754.00 CS"
Total Inventory Qty,01825,FP03,0.33 CS,5.00 CS,4.50 CS,7.50 CS,6.67 CS,5.33 CS,,,,,5.00 CS,5.67 CS,40.00 CS
Total Inventory Qty,01825,FP07,"1,054.00 CS","5,432.00 CS","4,059.00 CS","5,714.00 CS","7,742.00 CS","4,481.00 CS","3,925.00 CS","3,981.00 CS","3,896.00 CS","4,566.00 CS","4,879.00 CS","5,730.00 CS","55,459.00 CS"
Total Inventory Qty,01825,FP13,267.00 CS,"6,692.00 CS","9,781.00 CS","3,937.00 CS","9,183.00 CS","17,248.00 CS","25,530.00 CS","18,138.00 CS","20,100.00 CS","12,698.00 CS","14,202.00 CS","10,699.00 CS","1,48,475.00 CS"
Total Inventory Qty,01825,FP14,,,,,,180.00 CS,,,,,,,180.00 CS
Total Inventory Qty,01826,FP03,,,,,,,,1.00 CS,1.00 CS,,,,2.00 CS
Total Inventory Qty,01826,FP07,,,,,,560.00 CS,474.00 CS,146.00 CS,582.00 CS,434.00 CS,618.00 CS,"1,066.00 CS","3,880.00 CS"
Total Inventory Qty,01826,FP13,,,,,,"2,317.00 CS",,"3,368.00 CS",624.00 CS,"1,516.00 CS","1,204.00 CS","1,479.00 CS","10,508.00 CS"
Total Inventory Qty,01827,FP07,340.00 CS,219.00 CS,425.00 CS,99.00 CS,3.00 CS,768.00 CS,768.00 CS,768.00 CS,768.00 CS,768.00 CS,326.00 CS,326.00 CS,"5,578.00 CS"
Total Inventory Qty,01827,FP13,389.00 CS,85.00 CS,9.00 CS,422.00 CS,480.00 CS,,,,,"1,232.00 CS","1,920.00 CS","1,818.00 CS","6,355.00 CS"
Total Inventory Qty,01828,FP07,638.00 CS,705.00 CS,"1,639.00 CS",570.00 CS,"1,351.00 CS",568.00 CS,385.00 CS,232.00 CS,232.00 CS,742.00 CS,232.00 CS,113.00 CS,"7,407.00 CS"
Total Inventory Qty,01828,FP13,254.00 CS,507.00 CS,252.00 CS,702.00 CS,,425.00 CS,340.00 CS,,765.00 CS,427.00 CS,"1,107.00 CS","1,957.00 CS","6,736.00 CS"
Total Inventory Qty,01832,FP07,71.00 CS,71.00 CS,69.00 CS,68.00 CS,68.00 CS,"1,788.00 CS","2,488.00 CS",363.00 CS,2.00 CS,2.00 CS,2.00 CS,,"4,992.00 CS"
Total Inventory Qty,01833,FP07,31.00 CS,31.00 CS,31.00 CS,31.00 CS,31.00 CS,,,,,,,,155.00 CS
Total Inventory Qty,01833,FP13,25.00 CS,57.00 CS,57.00 CS,32.00 CS,,,,,,,,,171.00 CS
Total Inventory Qty,01835,FP13,10.00 CS,2.00 CS,2.00 CS,,,,,,,,,,14.00 CS
Total Inventory Qty,01836,FP13,,256.00 CS,,,,,,,,,,420.00 CS,676.00 CS
Total Inventory Qty,01838,FP07,36.00 CS,51.00 CS,36.00 CS,14.00 CS,18.00 CS,18.00 CS,26.00 CS,14.00 CS,2.00 CS,,,,215.00 CS
Total Inventory Qty,01838,FP13,36.00 CS,36.00 CS,70.00 CS,34.00 CS,125.00 CS,43.00 CS,21.00 CS,227.00 CS,197.00 CS,158.00 CS,158.00 CS,158.00 CS,"1,263.00 CS"
Total Inventory Qty,01842,FP03,7.00 CS,7.00 CS,7.00 CS,,,,,,,,,,21.00 CS
Total Inventory Qty,01842,FP07,,,,20.00 CS,20.00 CS,18.00 CS,11.00 CS,,,,,,69.00 CS
Total Inventory Qty,01842,FP13,"5,885.00 CS","2,649.00 CS","1,543.00 CS","1,546.00 CS",93.00 CS,,,,,,,,"11,716.00 CS"
Total Inventory Qty,01842,FP14,280.00 CS,,,,,,,,,,,,280.00 CS
Total Inventory Qty,01843,FP13,701.00 CS,695.00 CS,695.00 CS,,,,,,,,,,"2,091.00 CS"
Total Inventory Qty,01844,FP13,121.00 CS,"1,147.00 CS","2,568.00 CS",900.00 CS,91.00 CS,,,,,,,,"4,827.00 CS"
Total Inventory Qty,01844,FP14,,,40.00 CS,40.00 CS,40.00 CS,,,,,,,,120.00 CS
Total Inventory Qty,01845,FP03,0.37 CS,,,,,,,,,,,,0.37 CS
Total Inventory Qty,01845,FP07,"2,562.00 CS","2,515.00 CS","1,741.00 CS","1,704.00 CS","1,859.00 CS","1,669.00 CS",237.00 CS,129.00 CS,129.00 CS,46.00 CS,47.00 CS,47.00 CS,"12,685.00 CS"
Total Inventory Qty,01845,FP13,589.00 CS,433.00 CS,422.00 CS,423.00 CS,3.00 CS,3.00 CS,,,,,,,"1,873.00 CS"
Total Inventory Qty,01848,FP07,,326.00 CS,984.00 CS,696.00 CS,522.00 CS,623.00 CS,700.00 CS,700.00 CS,700.00 CS,890.00 CS,700.00 CS,700.00 CS,"7,541.00 CS"
Total Inventory Qty,01848,FP13,"3,644.00 CS",34.00 CS,876.00 CS,"4,210.00 CS","3,633.00 CS","2,466.00 CS","1,928.00 CS","1,928.00 CS","1,906.00 CS","1,866.00 CS","1,866.00 CS","1,866.00 CS","26,223.00 CS"
Total Inventory Qty,01848,FP14,148.00 CS,,,,,,,,,,,,148.00 CS
Total Inventory Qty,01849,FP07,762.00 CS,168.00 CS,168.00 CS,168.00 CS,168.00 CS,168.00 CS,168.00 CS,,,,,,"1,770.00 CS"
Total Inventory Qty,01849,FP13,"1,038.00 CS",315.00 CS,315.00 CS,,,,,,,,,,"1,668.00 CS"
Total Inventory Qty,01850,FP07,785.00 CS,785.00 CS,785.00 CS,785.00 CS,785.00 CS,2.00 CS,2.00 CS,2.00 CS,2.00 CS,2.00 CS,2.00 CS,2.00 CS,"3,939.00 CS"
